time,mag,place
2022-04-15T01:51:31.400Z,1.40,"17 km WNW of Ninilchik, Alaska"
2022-04-15T01:49:22.320Z,2.01,"3 km S of Pāhala, Hawaii"
2022-04-15T01:45:35.299Z,1.20,"45 km WNW of Anchor Point, Alaska"
2022-04-15T01:45:11.090Z,1.08,"14km N of Ocotillo, CA"
2022-04-15T01:43:31.160Z,1.25,"2km S of Parkfield, CA"
2022-04-15T01:41:46.595Z,1.70,"34 km WSW of Skwentna, Alaska"
2022-04-15T01:34:48.606Z,1.80,"70 km W of Petersville, Alaska"
2022-04-15T01:34:39.595Z,4.50,"46 km E of Augusta, Italy"
2022-04-15T01:30:52.520Z,2.36,"1 km SW of Pāhala, Hawaii"
2022-04-15T01:26:16.734Z,5.50,"150 km SSW of Laojunmiao, China"
2022-04-15T01:09:00.865Z,2.30,"40 km SSW of Skwentna, Alaska"
2022-04-15T01:07:32.079Z,1.40,"16 km SE of Kasilof, Alaska"
2022-04-15T00:46:22.260Z,2.04,"0 km N of Lluveras, Puerto Rico"
2022-04-15T00:41:39.293Z,2.20,"25 km NW of Ninilchik, Alaska"
2022-04-15T00:40:37.780Z,0.91,"11km SE of Warner Springs, CA"
2022-04-15T00:40:34.040Z,0.88,"6km SSW of Borrego Springs, CA"
2022-04-15T00:17:23.840Z,0.91,"7km N of Cabazon, CA"
2022-04-15T00:11:34.770Z,2.19,"11km W of Lake Pillsbury, CA"
2022-04-15T00:04:29.694Z,1.50,"38 km W of Aleneva, Alaska"
2022-04-14T23:55:43.290Z,1.57,"2km E of Pleasant Hill, CA"
2022-04-14T23:46:48.303Z,4.60,"56 km NNW of Neiafu, Tonga"
2022-04-14T23:43:38.130Z,-0.26,"62 km ENE of Pedro Bay, Alaska"
2022-04-14T23:31:43.350Z,1.17,"7km NW of The Geysers, CA"
2022-04-14T23:23:31.093Z,1.90,"36 km W of Nanwalek, Alaska"
2022-04-14T23:11:30.110Z,0.37,"19km ESE of Anza, CA"
2022-04-14T23:08:32.270Z,0.45,"15km S of Joshua Tree, CA"
2022-04-14T23:05:12.137Z,2.90,"3 km N of Susitna, Alaska"
2022-04-14T23:02:35.690Z,0.83,"2km NNW of The Geysers, CA"
2022-04-14T23:00:42.649Z,1.20,"8 km ENE of Fox, Alaska"
2022-04-14T22:46:03.490Z,-0.07,"22km ESE of Little Lake, CA"
2022-04-14T22:39:43.290Z,0.71,"6km NW of Anza, CA"
2022-04-14T22:33:21.490Z,0.71,"18km ESE of Anza, CA"
2022-04-14T22:27:48.860Z,0.50,"7km NW of The Geysers, CA"
2022-04-14T22:26:55.440Z,0.06,"60 km WNW of Beluga, Alaska"
2022-04-14T22:18:07.320Z,0.61,"8km ENE of Coso Junction, CA"
2022-04-14T22:17:55.573Z,4.90,"36 km NW of La Ligua, Chile"
2022-04-14T22:17:24.770Z,0.70,"17km W of Searles Valley, CA"
2022-04-14T22:14:03.860Z,1.44,"3km ESE of The Geysers, CA"
2022-04-14T22:10:31.240Z,0.66,"6km NW of Anza, CA"
2022-04-14T21:59:14.380Z,1.34,"7km SSW of Redlands, CA"
2022-04-14T21:57:11.670Z,0.71,"8km WNW of Cobb, CA"
2022-04-14T21:49:03.690Z,-0.21,"1km NW of The Geysers, CA"
2022-04-14T21:44:18.140Z,1.88,"5km SE of Goleta, CA"
2022-04-14T21:41:51.170Z,0.84,"13km ENE of Cloverdale, CA"
2022-04-14T21:37:09.480Z,1.17,"7km NW of The Geysers, CA"
2022-04-14T21:37:03.060Z,0.30,"85 km W of Adak, Alaska"
2022-04-14T21:24:20.960Z,0.97,"10km SSW of Trona, CA"
2022-04-14T21:14:31.120Z,0.50,"7km NW of The Geysers, CA"
2022-04-14T21:14:12.708Z,1.10,"17 km W of Willow, Alaska"
2022-04-14T21:10:53.570Z,2.08,"6 km SSE of Guánica, Puerto Rico"
2022-04-14T21:08:20.100Z,0.11,"61 km WNW of Beluga, Alaska"
2022-04-14T21:08:19.920Z,0.20,"59 km WNW of Beluga, Alaska"
2022-04-14T21:06:40.670Z,2.79,"11km N of McArthur, CA"
2022-04-14T21:04:14.879Z,1.40,"30 km S of Mina, Nevada"
2022-04-14T21:04:00.770Z,1.33,"4km WNW of Ojai, CA"
2022-04-14T21:03:55.480Z,-0.45,"84 km NNW of Karluk, Alaska"
2022-04-14T20:39:06.070Z,0.84,"13km NW of The Geysers, CA"
2022-04-14T20:32:06.000Z,0.49,"6km NW of The Geysers, CA"
2022-04-14T20:27:41.650Z,2.04,"13km ENE of Cloverdale, CA"
2022-04-14T20:11:02.996Z,1.50,"36 km SSW of Central, Alaska"
2022-04-14T20:06:34.140Z,2.11,"5 km SW of Guánica, Puerto Rico"
2022-04-14T20:03:47.450Z,0.63,"12km E of Coso Junction, CA"
2022-04-14T20:00:02.440Z,1.52,"5km SSE of Home Gardens, CA"
2022-04-14T19:56:23.720Z,1.19,"22km ENE of Little Lake, CA"
2022-04-14T19:51:27.660Z,0.52,"16km WSW of Toms Place, CA"
2022-04-14T19:48:36.200Z,0.39,"6km NW of The Geysers, CA"
2022-04-14T19:47:50.720Z,0.41,"15km N of Warner Springs, CA"
2022-04-14T19:38:45.840Z,1.20,"21 km W of Denali Park, Alaska"
2022-04-14T19:37:50.230Z,2.33,"15 km S of Fern Forest, Hawaii"
2022-04-14T19:22:05.652Z,1.10,"13 km SW of Susitna, Alaska"
2022-04-14T19:13:50.090Z,1.11,"12km SSW of Tres Pinos, CA"
2022-04-14T19:13:19.530Z,0.85,"2km NNW of The Geysers, CA"
2022-04-14T19:10:14.848Z,1.60,"52 km NE of Chase, Alaska"
2022-04-14T19:07:40.380Z,1.68,"5km E of Vallejo, CA"
2022-04-14T18:48:00.955Z,1.40,"42 km SE of Denali National Park, Alaska"
2022-04-14T18:45:05.909Z,1.40,"28 km NNE of Chickaloon, Alaska"
2022-04-14T18:27:49.760Z,2.51,"11 km ENE of Pāhala, Hawaii"
2022-04-14T18:20:49.100Z,0.10,"59 km WNW of Beluga, Alaska"
2022-04-14T18:15:56.920Z,2.07,"20km SE of Pinnacles, CA"
2022-04-14T18:13:59.910Z,0.85,"7km WNW of Cobb, CA"
2022-04-14T18:09:25.750Z,1.30,"13km SE of Tehachapi, CA"
2022-04-14T18:05:44.510Z,0.67,"1 km NNE of Magna, Utah"
2022-04-14T18:02:40.940Z,1.11,"46km NE of Holtville, CA"
2022-04-14T17:54:22.810Z,1.34,"13km SE of Anza, CA"
2022-04-14T17:48:18.098Z,1.30,"21 km N of Fishhook, Alaska"
2022-04-14T17:37:13.840Z,0.72,"3km NNW of Palomar Observatory, CA"
2022-04-14T17:33:40.502Z,0.50,"17 km S of Deltana, Alaska"
2022-04-14T17:26:31.597Z,1.30,"13 km N of Indian Springs, Nevada"
2022-04-14T17:26:19.821Z,3.30,"37 km N of Dyer, Nevada"
2022-04-14T17:19:39.329Z,1.20,"35 km ESE of Skwentna, Alaska"
2022-04-14T17:19:29.953Z,0.60,"15 km N of Indian Springs, Nevada"
2022-04-14T17:15:31.670Z,0.90,"10km WSW of Searles Valley, CA"
2022-04-14T17:09:58.530Z,1.19,"23km S of Maricopa, CA"
2022-04-14T17:08:16.031Z,1.30,Southern Alaska
2022-04-14T16:54:15.420Z,2.26,"34 km NW of Stanley, Idaho"
2022-04-14T16:48:39.271Z,1.10,"65 km NE of Cordova, Alaska"
2022-04-14T16:37:14.620Z,0.78,"12km NE of Coso Junction, CA"
2022-04-14T16:33:32.936Z,1.10,"4 km NNE of Happy Valley, Alaska"
2022-04-14T16:29:09.638Z,1.40,"10 km WSW of Chase, Alaska"
2022-04-14T16:20:09.780Z,0.70,"2km NE of Loma Linda, CA"
2022-04-14T16:16:16.670Z,1.29,"8km NE of Coso Junction, CA"
2022-04-14T16:08:22.580Z,1.73,"4km SW of Santa Paula, CA"
2022-04-14T16:05:18.350Z,1.74,"4 km SSE of Pāhala, Hawaii"
2022-04-14T16:03:58.200Z,2.28,"4km NNW of Pinnacles, CA"
2022-04-14T16:01:05.850Z,0.99,"8km WNW of Cobb, CA"
2022-04-14T15:57:36.082Z,2.50,"36 km NNE of Petersville, Alaska"
2022-04-14T15:53:48.550Z,0.86,"2km NE of The Geysers, CA"
2022-04-14T15:52:36.980Z,0.13,"7km SSE of Idyllwild, CA"
2022-04-14T15:51:18.680Z,-0.97,"61 km ENE of Pedro Bay, Alaska"
2022-04-14T15:49:54.379Z,4.90,"Jujuy, Argentina"
2022-04-14T15:47:31.600Z,1.92,"2 km N of Indios, Puerto Rico"
2022-04-14T15:47:07.490Z,2.00,"4km NNW of Pinnacles, CA"
2022-04-14T15:31:23.330Z,1.46,"29 km NNE of Alta, Wyoming"
2022-04-14T15:25:45.641Z,0.60,"63 km W of Tyonek, Alaska"
2022-04-14T15:24:18.470Z,2.25,"3 km NW of Guayanilla, Puerto Rico"
2022-04-14T15:11:23.200Z,0.34,"5km NW of The Geysers, CA"
2022-04-14T15:09:55.126Z,0.90,"2 km NW of Point MacKenzie, Alaska"
2022-04-14T15:07:46.590Z,2.18,"6 km NW of Medford, Oklahoma"
2022-04-14T15:02:45.590Z,1.78,"6 km NW of Medford, Oklahoma"
2022-04-14T15:02:35.760Z,0.98,"19km SW of New Idria, CA"
2022-04-14T15:02:17.180Z,0.84,"4km NNW of The Geysers, CA"
2022-04-14T14:57:22.960Z,1.86,"6 km SSW of Tallaboa, Puerto Rico"
2022-04-14T14:50:01.891Z,1.20,"35 km SSE of Denali National Park, Alaska"
2022-04-14T14:26:01.750Z,0.86,"34 km WNW of Hebgen Lake Estates, Montana"
2022-04-14T14:23:33.140Z,0.31,"6km WNW of Cobb, CA"
2022-04-14T14:14:18.430Z,0.74,"22km ESE of Little Lake, CA"
2022-04-14T14:14:14.679Z,1.30,"18 km N of Cooper Landing, Alaska"
2022-04-14T14:08:56.820Z,0.77,"44 km NNE of Alta, Wyoming"
2022-04-14T14:07:09.765Z,1.70,"27 km ENE of Skwentna, Alaska"
2022-04-14T14:06:15.363Z,1.30,"28 km WSW of Petersville, Alaska"
2022-04-14T14:03:50.010Z,1.22,"Rat Islands, Aleutian Islands, Alaska"
2022-04-14T13:47:46.240Z,2.33,"62km E of Maneadero, B.C., MX"
2022-04-14T13:42:14.370Z,-0.08,"86 km NNW of Karluk, Alaska"
2022-04-14T13:37:53.540Z,0.71,"22km SW of La Quinta, CA"
2022-04-14T13:36:11.067Z,4.40,"61 km S of Demre, Turkey"
2022-04-14T13:35:37.591Z,1.60,Nevada
2022-04-14T13:34:08.767Z,1.90,"60 km NNE of Petersville, Alaska"
2022-04-14T13:34:00.604Z,1.50,"5 km NE of Clam Gulch, Alaska"
2022-04-14T13:28:39.307Z,4.10,"134 km W of Illapel, Chile"
2022-04-14T13:27:00.236Z,1.30,"45 km NW of Beluga, Alaska"
2022-04-14T13:16:07.730Z,1.37,"16km S of Searles Valley, CA"
2022-04-14T13:15:24.087Z,1.40,"70 km ESE of Denali National Park, Alaska"
2022-04-14T13:12:13.020Z,3.79,"36 km WNW of The Bottom, Bonaire, Saint Eustatius and Saba "
2022-04-14T13:01:31.527Z,4.70,"87 km W of Illapel, Chile"
2022-04-14T12:53:11.895Z,4.90,"108 km W of Illapel, Chile"
2022-04-14T12:50:42.881Z,2.20,"51 km S of Whites City, New Mexico"
2022-04-14T12:47:32.400Z,1.07,"21 km E of Castle Rock, Washington"
2022-04-14T12:46:10.830Z,-0.56,Southern Alaska
2022-04-14T12:46:07.242Z,1.60,"87 km N of Yakutat, Alaska"
2022-04-14T12:45:31.247Z,1.50,"65 km NNE of Petersville, Alaska"
2022-04-14T12:41:36.340Z,2.17,"1 km SSE of Pāhala, Hawaii"
2022-04-14T12:35:34.541Z,1.50,"26 km NW of Valdez, Alaska"
2022-04-14T12:32:19.538Z,1.00,"22 km WSW of Denali Park, Alaska"
2022-04-14T12:30:02.769Z,2.20,"11 km SW of Petersville, Alaska"
2022-04-14T12:24:25.690Z,0.89,"17km ESE of Little Lake, CA"
2022-04-14T12:22:14.290Z,1.92,"2 km SSW of Pāhala, Hawaii"
2022-04-14T12:18:03.970Z,1.65,"5km ENE of Avenal, CA"
2022-04-14T12:17:02.660Z,0.33,"150 km W of Adak, Alaska"
2022-04-14T12:11:21.540Z,0.75,Washington
2022-04-14T12:07:06.245Z,1.50,"11 km NE of Badger, Alaska"
2022-04-14T11:53:43.220Z,1.76,"8 km E of Pāhala, Hawaii"
2022-04-14T11:51:00.150Z,2.26,"4 km SW of Pāhala, Hawaii"
2022-04-14T11:48:06.820Z,1.40,"18km SSW of Searles Valley, CA"
2022-04-14T11:43:05.370Z,1.41,"7km NW of The Geysers, CA"
2022-04-14T11:40:41.300Z,0.73,"7km NE of Desert Hot Springs, CA"
2022-04-14T11:30:17.510Z,0.66,"23km ESE of Little Lake, CA"
2022-04-14T11:30:09.910Z,0.83,"22km ENE of Little Lake, CA"
2022-04-14T11:18:09.210Z,2.06,"22km ENE of Little Lake, CA"
2022-04-14T11:16:18.336Z,1.90,"59 km S of Whites City, New Mexico"
2022-04-14T11:12:29.690Z,0.97,"4km W of Cobb, CA"
2022-04-14T11:04:03.400Z,1.31,"5 km NNE of Duvall, Washington"
2022-04-14T11:03:32.590Z,2.16,"3 km S of Indios, Puerto Rico"
2022-04-14T11:02:50.357Z,4.90,"289 km ESE of Tadine, New Caledonia"
2022-04-14T10:51:40.763Z,1.50,"64 km WSW of Cantwell, Alaska"
2022-04-14T10:47:13.040Z,1.10,"21 km WSW of Denali Park, Alaska"
2022-04-14T10:44:47.465Z,2.10,"82 km N of Yakutat, Alaska"
2022-04-14T10:39:42.430Z,0.36,"8km NW of The Geysers, CA"
2022-04-14T10:27:48.080Z,2.34,"1 km SSW of Pāhala, Hawaii"
2022-04-14T10:27:06.890Z,0.44,"148 km W of Adak, Alaska"
2022-04-14T10:22:37.334Z,2.10,"14 km W of Denali Park, Alaska"
2022-04-14T10:21:19.301Z,1.40,"48 km WSW of Salamatof, Alaska"
2022-04-14T10:16:16.340Z,1.38,"4km SSW of Brawley, CA"
2022-04-14T10:16:01.780Z,1.80,"3km SSW of Anderson Springs, CA"
2022-04-14T10:15:04.152Z,4.10,"253 km WNW of Attu Station, Alaska"
2022-04-14T10:01:56.970Z,-0.10,"49 km ESE of Beatty, Nevada"
2022-04-14T10:00:24.570Z,2.33,"2 km WSW of Indios, Puerto Rico"
2022-04-14T09:54:43.203Z,1.60,"42 km NW of Karluk, Alaska"
2022-04-14T09:51:49.930Z,0.34,"1km NE of Anza, CA"
2022-04-14T09:46:41.870Z,-0.12,"57 km WNW of Beluga, Alaska"
2022-04-14T09:44:31.093Z,1.60,"10 km S of Point Possession, Alaska"
2022-04-14T09:43:17.396Z,0.40,"18 km WNW of Bridgeport, California"
2022-04-14T09:41:44.650Z,2.22,"4 km SSW of Pāhala, Hawaii"
2022-04-14T09:40:30.070Z,0.69,"3km NE of Wildomar, CA"
2022-04-14T09:30:18.500Z,0.36,"1km WNW of The Geysers, CA"
2022-04-14T09:27:14.501Z,5.00,Bouvet Island region
2022-04-14T09:06:49.130Z,1.16,"7km NW of The Geysers, CA"
2022-04-14T09:06:27.577Z,1.20,"112 km E of Cordova, Alaska"
2022-04-14T09:03:32.950Z,0.37,"10km NW of The Geysers, CA"
2022-04-14T09:03:04.570Z,1.97,"24km N of Ridgecrest, CA"
2022-04-14T09:02:00.090Z,-0.30,"83 km NNW of Karluk, Alaska"
2022-04-14T09:01:47.400Z,0.56,"18km E of Little Lake, CA"
2022-04-14T09:01:43.920Z,0.51,"18km E of Little Lake, CA"
2022-04-14T08:50:03.950Z,1.69,"11km NE of Yucaipa, CA"
2022-04-14T08:48:17.423Z,1.10,"44 km W of Four Mile Road, Alaska"
2022-04-14T08:43:08.555Z,1.30,"65 km N of Lake Minchumina, Alaska"
2022-04-14T08:29:17.152Z,1.30,"21 km ESE of Schurz, Nevada"
2022-04-14T08:27:32.630Z,1.10,"2km ESE of Loma Linda, CA"
2022-04-14T08:27:04.810Z,0.07,"5km WNW of The Geysers, CA"
2022-04-14T08:20:10.140Z,1.46,"6km NW of The Geysers, CA"
2022-04-14T08:19:26.877Z,0.70,"53 km WNW of Nikiski, Alaska"
2022-04-14T08:17:31.880Z,1.08,"17km ESE of Julian, CA"
2022-04-14T08:15:56.430Z,-1.01,"100 km S of Kokhanok, Alaska"
2022-04-14T08:08:10.530Z,1.12,western Montana
2022-04-14T07:57:32.171Z,1.10,"19 km SW of Salamatof, Alaska"
2022-04-14T07:49:28.690Z,0.93,"13km ENE of Borrego Springs, CA"
2022-04-14T07:41:08.561Z,4.30,"65 km NNW of Bandar Abbas, Iran"
2022-04-14T07:26:09.555Z,4.40,south of the Fiji Islands
2022-04-14T07:26:06.471Z,1.20,"43 km W of Four Mile Road, Alaska"
2022-04-14T07:21:02.136Z,1.20,"42 km W of Four Mile Road, Alaska"
2022-04-14T07:13:04.020Z,1.22,"35km N of Searles Valley, CA"
2022-04-14T07:11:46.300Z,0.39,"7km NW of The Geysers, CA"
2022-04-14T07:09:43.500Z,0.86,"2km NNE of The Geysers, CA"
2022-04-14T07:03:34.915Z,5.50,south of Tonga
2022-04-14T06:55:16.300Z,0.68,"9km WNW of The Geysers, CA"
2022-04-14T06:49:36.340Z,0.53,"22km ESE of Anza, CA"
2022-04-14T06:42:11.510Z,0.84,"2km NW of The Geysers, CA"
2022-04-14T06:33:40.730Z,2.58,"12km N of Borrego Springs, CA"
2022-04-14T06:30:54.760Z,0.69,"16km W of Searles Valley, CA"
2022-04-14T06:30:29.280Z,0.56,"43 km NNE of Alta, Wyoming"
2022-04-14T06:29:25.860Z,0.53,"45 km NE of Alta, Wyoming"
2022-04-14T06:25:20.360Z,0.01,"63 km WNW of Beluga, Alaska"
2022-04-14T06:24:57.220Z,1.04,"1km ESE of Loma Linda, CA"
2022-04-14T06:20:31.630Z,1.77,"43 km NNE of Alta, Wyoming"
2022-04-14T06:16:53.166Z,1.30,"53 km S of Glacier View, Alaska"
2022-04-14T06:10:40.930Z,0.66,"10km WNW of Corona, CA"
2022-04-14T06:04:30.230Z,2.43,"4 km SE of Indios, Puerto Rico"
2022-04-14T05:53:06.222Z,0.10,"27 km SW of Mina, Nevada"
2022-04-14T05:45:21.680Z,0.86,"1km WNW of The Geysers, CA"
2022-04-14T05:44:01.670Z,1.97,"10 km SSE of Guánica, Puerto Rico"
2022-04-14T05:42:41.400Z,0.60,"1 km SSE of North Pole, Alaska"
2022-04-14T05:42:07.540Z,0.14,"12km ESE of Mammoth Lakes, CA"
2022-04-14T05:41:17.510Z,1.19,"3 km NNW of Ridgely, Tennessee"
2022-04-14T05:37:01.520Z,1.10,"12km ESE of Mammoth Lakes, CA"
2022-04-14T05:36:45.099Z,1.10,"44 km E of Denali National Park, Alaska"
2022-04-14T05:34:55.540Z,0.85,"16km N of Morgan Hill, CA"
2022-04-14T05:24:47.890Z,2.00,"52 km NW of Toyah, Texas"
2022-04-14T05:23:21.800Z,0.78,"24km ESE of Little Lake, CA"
2022-04-14T05:15:24.650Z,1.34,"3km ENE of Silver Lake, CA"
2022-04-14T05:13:34.810Z,0.72,"43 km NNE of Alta, Wyoming"
2022-04-14T05:04:13.970Z,0.85,"8km NW of The Geysers, CA"
2022-04-14T05:01:35.155Z,1.50,"7 km WSW of Houston, Alaska"
2022-04-14T05:00:51.090Z,0.54,"10km NNW of Cabazon, CA"
2022-04-14T04:58:24.040Z,0.96,"2km WNW of The Geysers, CA"
2022-04-14T04:54:23.010Z,0.74,"5km NW of The Geysers, CA"
2022-04-14T04:45:28.061Z,1.00,"40 km NNW of Glacier View, Alaska"
2022-04-14T04:44:13.300Z,0.07,"7 km NNE of West Yellowstone, Montana"
2022-04-14T04:43:15.428Z,1.20,"27 km SW of Trapper Creek, Alaska"
2022-04-14T04:40:57.350Z,1.18,"3km ESE of Windsor, CA"
2022-04-14T04:40:18.300Z,1.02,"14km SSW of Searles Valley, CA"
2022-04-14T04:37:24.250Z,2.35,"4 km ENE of La Parguera, Puerto Rico"
2022-04-14T04:29:32.300Z,0.58,"3km W of Cobb, CA"
2022-04-14T04:22:14.780Z,-0.52,"92 km N of Karluk, Alaska"
2022-04-14T04:14:05.515Z,1.50,"62 km SE of Imlay, Nevada"
2022-04-14T04:13:05.161Z,2.40,"114 km SSE of Ugashik, Alaska"
2022-04-14T04:11:52.910Z,1.82,"8 km NE of Pāhala, Hawaii"
2022-04-14T04:07:35.180Z,1.71,"3 km S of Liborio Negron Torres, Puerto Rico"
2022-04-14T04:04:48.310Z,0.50,"5km NNW of The Geysers, CA"
2022-04-14T04:03:57.740Z,1.15,"38 km NE of King Cove, Alaska"
2022-04-14T03:58:13.510Z,0.51,"79 km W of Adak, Alaska"
2022-04-14T03:45:35.477Z,0.00,"9 km NNE of Truckee, California"
2022-04-14T03:44:35.080Z,0.07,"58 km WNW of Beluga, Alaska"
2022-04-14T03:40:07.697Z,4.60,"216 km SSE of Katsuura, Japan"
2022-04-14T03:33:48.191Z,4.80,"57 km NNE of Novyy Uoyan, Russia"
2022-04-14T03:32:16.500Z,2.12,"3 km WSW of Fort Bridger, Wyoming"
2022-04-14T03:17:32.210Z,0.82,"6km S of Devore, CA"
2022-04-14T03:16:43.390Z,0.81,"8 km ESE of Hebgen Lake Estates, Montana"
2022-04-14T03:15:13.245Z,1.10,"20 km E of Susitna North, Alaska"
2022-04-14T03:14:16.266Z,1.20,"71 km N of Chickaloon, Alaska"
2022-04-14T03:11:17.220Z,0.70,"6km SSW of Devore, CA"
2022-04-14T03:08:57.930Z,1.46,"23km ESE of Ridgecrest, CA"
2022-04-14T03:06:43.920Z,1.19,"16km S of Trona, CA"
2022-04-14T02:57:24.810Z,0.75,"1km NNW of The Geysers, CA"
2022-04-14T02:56:21.348Z,1.50,"40 km NNE of Valdez, Alaska"
2022-04-14T02:49:06.276Z,1.40,Nevada
2022-04-14T02:44:33.160Z,-0.21,"60 km SE of Pedro Bay, Alaska"
2022-04-14T02:38:44.335Z,2.10,"19 km NW of Pecos, Texas"
2022-04-14T02:35:09.330Z,2.15,"17 km WNW of Puako, Hawaii"
2022-04-14T02:34:32.340Z,1.19,"7 km N of West Yellowstone, Montana"
2022-04-14T02:27:18.062Z,1.50,"33 km WNW of Petersville, Alaska"
2022-04-14T02:17:29.564Z,1.10,"12 km NW of Benton, California"
2022-04-14T01:55:19.620Z,1.12,"12km WSW of Toms Place, CA"
2022-04-14T01:52:48.890Z,2.21,"15 km S of Fern Forest, Hawaii"
2022-04-14T01:51:36.010Z,0.85,"18km ESE of Anza, CA"
2022-04-14T01:49:08.120Z,1.50,"64 km SE of Denali National Park, Alaska"
2022-04-14T01:46:36.140Z,0.66,"18km ESE of Anza, CA"
2022-04-14T01:40:41.810Z,3.36,"45 km N of Brenas, Puerto Rico"
2022-04-14T01:30:19.260Z,1.26,"16 km SSE of Carbonado, Washington"
2022-04-14T01:29:10.886Z,4.40,"88 km W of Diego de Almagro, Chile"
2022-04-14T01:26:40.090Z,0.66,"19km ESE of Anza, CA"
2022-04-14T01:21:15.478Z,3.30,"138 km W of Langlois, Oregon"
2022-04-14T01:19:05.000Z,0.48,"5km SSW of Warner Springs, CA"
2022-04-14T01:17:39.438Z,1.40,"10 km NE of Ridgeway, Alaska"
2022-04-14T01:16:12.010Z,1.32,"1km NNE of Pinnacles, CA"
2022-04-14T01:08:59.230Z,1.91,"7km W of Templeton, CA"
2022-04-14T01:04:44.560Z,1.74,"31 km E of Honaunau-Napoopoo, Hawaii"
2022-04-14T01:02:12.652Z,1.10,"6 km WSW of Minto, Alaska"
2022-04-14T01:02:07.520Z,0.82,"25km NNE of Montecito, CA"
2022-04-14T00:56:40.259Z,1.40,"40 km NNE of Whittier, Alaska"
2022-04-14T00:51:49.990Z,0.39,"2km NNW of The Geysers, CA"
2022-04-14T00:51:29.881Z,1.70,"3 km S of Point Possession, Alaska"
